date,close,close_adjusted
2010-09-09,101.3200,76.5354
2010-09-10,101.7800,76.8829
2010-09-13,103.0600,77.8497
2010-09-14,103.0400,77.8346
2010-09-15,103.3000,78.0310
2010-09-16,103.2600,78.0008
2010-09-17,103.3600,78.0763
2010-09-20,105.0400,79.3454
2010-09-21,104.7200,79.1036
2010-09-22,104.1600,78.6806
2010-09-23,103.3000,78.0310
2010-09-24,104.8400,79.6244
2010-09-27,104.3400,79.2447
2010-09-28,105.0200,79.7611
2010-09-29,104.5200,79.3814
2010-09-30,104.3600,79.2599
2010-10-01,104.7200,79.5333
2010-10-04,103.8400,78.8649
2010-10-05,106.1200,80.5966
2010-10-06,105.9400,80.4599
2010-10-07,105.8800,80.4143
2010-10-08,106.6800,81.0219
2010-10-11,106.5000,80.8852
2010-10-12,107.1200,81.3560
2010-10-13,107.7600,81.8421
2010-10-14,107.3600,81.5383
2010-10-15,107.5600,81.6902
2010-10-18,108.3400,82.2826
2010-10-19,106.6200,80.9763
2010-10-20,107.7600,81.8421
2010-10-21,107.9200,81.9636
2010-10-22,108.1800,82.1611
2010-10-25,108.5000,82.4041
2010-10-26,108.4800,82.3889
2010-10-27,108.1400,82.1307
2010-10-28,108.2200,82.1915
2010-10-29,108.3000,82.2522
2010-11-01,108.3600,82.2978
2010-11-02,109.2000,82.9358
2010-11-03,109.6600,83.2851
2010-11-04,111.7200,84.8497
2010-11-05,112.1600,85.1838
2010-11-08,112.0200,85.0775
2010-11-09,111.1400,84.4091
2010-11-10,111.5600,84.7282
2010-11-11,111.2000,84.4547
2010-11-12,109.8200,83.4066
2010-11-15,109.7200,83.3307
2010-11-16,107.9600,81.9940
2010-11-17,108.0400,82.0548
2010-11-18,109.6400,83.2700
2010-11-19,109.9000,83.4674
2010-11-22,109.8000,83.3914
2010-11-23,108.2600,82.2219
2010-11-24,109.6600,83.2851
2010-11-26,109.0400,82.8142
2010-11-29,108.9400,82.7383
2010-11-30,108.1800,82.1611
2010-12-01,110.6200,84.0142
2010-12-02,112.0600,85.1079
2010-12-03,112.3400,85.3206
2010-12-06,112.2000,85.2142
2010-12-07,112.2400,85.2446
2010-12-08,112.7000,85.5940
2010-12-09,113.1200,85.9130
2010-12-10,113.8000,86.4294
2010-12-13,113.8600,86.4749
2010-12-14,113.9200,86.5206
2010-12-15,113.4200,86.1408
2010-12-16,114.0800,86.6421
2010-12-17,114.2400,86.7636
2010-12-20,114.4800,86.9459
2010-12-21,115.1800,87.4775
2010-12-22,115.6000,87.7965
2010-12-23,115.4200,87.6598
2010-12-27,114.9800,87.7254
2010-12-28,115.1000,87.8170
2010-12-29,115.2000,87.8932
2010-12-30,115.0200,87.7559
2010-12-31,115.1400,87.8475
2011-01-03,116.2200,88.6715
2011-01-04,116.1200,88.5952
2011-01-05,116.7400,89.0682
2011-01-06,116.5400,88.9156
2011-01-07,116.3000,88.7325
2011-01-10,116.2000,88.6562
2011-01-11,116.5800,88.9461
2011-01-12,117.6200,89.7396
2011-01-13,117.4600,89.6176
2011-01-14,118.3000,90.2584
2011-01-18,118.5000,90.4110
2011-01-19,117.3200,89.5107
2011-01-20,117.1800,89.4039
2011-01-21,117.4400,89.6023
2011-01-24,118.1600,90.1516
2011-01-25,118.1200,90.1211
2011-01-26,118.7400,90.5941
2011-01-27,118.9000,90.7162
2011-01-28,116.8000,89.1140
2011-01-31,117.7000,89.8006
2011-02-01,119.5400,91.2045
2011-02-02,119.3400,91.0519
2011-02-03,119.6400,91.2808
2011-02-04,119.9600,91.5249
2011-02-07,120.7200,92.1048
2011-02-08,121.2800,92.5320
